,listing_id,farmer_id,country,region,crop_type,quality_grade,harvest_date,listing_date,quantity_kg,ask_price_usd_per_kg,lat_cell,lon_cell,shelf_life_days_effective,days_since_harvest,spoilage_risk_score,lot_id,total_quantity_kg,weighted_avg_ask_price_usd_per_kg,avg_spoilage_risk_score,max_days_since_harvest,recommended_discount_pct,recommended_price_usd_per_kg,priority,order_id,match_score,decision,region_match,required_quantity_kg,min_quality_grade,max_days_since_harvest.1,target_price_usd_per_kg,baseline_shelf_life_days,medium_risk_day,high_risk_day,match_status
0,L100000,Fe170532c57d8,South Africa,Limpopo,Okra,B,2026-02-14,2026-02-16,94,1.3,-30.56,24.5,5.0,5,0.93,LOT00486,504.0,1.31,0.987,6.0,0.25,0.98,HIGH,,,,,,,,,5,3,4,Not Matched
1,L100002,F288467893953,South Africa,Free State,Okra,B,2026-02-16,2026-02-16,62,1.4,-30.84,22.5,5.0,3,0.65,,,,,,,,,,,,,,,,,5,3,4,Not Matched
2,L100006,F474a05385991,Kenya,Uasin Gishu,Tomatoes,A,2026-02-08,2026-02-08,150,0.91,0.04,38.38,7.8,11,1.0,,,,,,,,,,,,,,,,,7,4,6,Not Matched
3,L100001,F5059e0e1a3aa,South Africa,KwaZulu-Natal,Potatoes,A,2026-01-27,2026-01-30,174,0.55,-30.01,23.49,50.0,23,0.497,,,,,,,,,,,,,,,,,45,27,38,Not Matched
4,L100008,Fb40903a01853,South Africa,Limpopo,Potatoes,A,2026-01-22,2026-01-25,73,0.65,-31.57,21.83,50.0,28,0.626,,,,,,,,,,,,,,,,,45,27,38,Not Matched
5,L100003,F8ae6df2b4dbb,Nigeria,Kaduna,Cucumbers,A,2026-02-16,2026-02-17,69,0.84,9.75,6.82,7.8,3,0.327,,,,,,,,,,,,,,,,,7,4,6,Not Matched
6,L100007,Fd0de6e0d4db2,Nigeria,Rivers,Onions,A,2026-02-11,2026-02-12,50,0.71,9.93,8.48,33.3,8,0.269,,,,,,,,,,,,,,,,,30,18,26,Not Matched
7,L100009,Fb02196de9215,Nigeria,Kano,Onions,B,2026-02-05,2026-02-07,327,0.57,9.13,8.52,30.0,14,0.469,,,,,,,,,,,,,,,,,30,18,26,Not Matched
8,L100011,F2d4da012f964,Kenya,Mombasa,Onions,A,2026-02-05,2026-02-08,128,0.64,-0.49,36.64,33.3,14,0.476,,,,,,,,,,,,,,,,,30,18,26,Not Matched
9,L100012,F349776dabf2b,Nigeria,FCT,Mangoes,A,2026-02-10,2026-02-13,109,1.35,9.4,11.17,7.8,9,0.923,,,,,,,,,,,,,,,,,7,4,6,Not Matched
