order_id,lot_id,match_score,decision,match_status,region_match,required_quantity_kg,target_price_usd_per_kg,min_quality_grade,max_days_since_harvest
O200013,LOT00014,0.487,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,1.5,B,2.0
O200024,LOT00205,0.833,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.91,B,2.0
O200035,LOT00288,0.9,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.82,B,2.0
O200055,LOT00366,0.883,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.82,B,2.0
O200056,LOT00428,0.874,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.49,B,2.0
O200078,LOT00146,0.782,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.84,A,4.0
O200082,LOT00036,0.59,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.61,A,4.0
O200087,LOT00034,0.682,REVIEW_REQUIRED,REVIEW_REQUIRED,1.0,800.0,1.24,B,4.0
O200091,LOT00430,0.856,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.27,A,2.0
O200093,LOT00352,0.59,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.47,B,6.0
O200101,LOT00352,0.582,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.42,A,6.0
O200108,LOT00014,0.483,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,1.48,A,2.0
O200122,LOT00259,0.922,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.54,A,2.0
O200127,LOT00366,0.873,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.72,B,2.0
O200148,LOT00259,0.886,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.26,B,2.0
O200159,LOT00168,0.803,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.49,B,2.0
O200160,LOT00102,0.82,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.09,B,2.0
O200168,LOT00497,0.909,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.76,A,2.0
O200180,LOT00388,0.538,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,500.0,0.89,A,2.0
O200182,LOT00075,0.883,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.38,B,2.0
O200196,LOT00291,0.412,REVIEW_REQUIRED,REVIEW_REQUIRED,0.0,800.0,0.62,A,3.0
O200214,LOT00205,0.853,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.05,B,2.0
O200215,LOT00173,0.851,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.07,B,2.0
O200222,LOT00291,0.76,AUTO_MATCH,AUTO_MATCH,1.0,500.0,0.61,A,3.0
O200225,LOT00064,0.822,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.02,B,2.0
O200235,LOT00428,0.849,AUTO_MATCH,AUTO_MATCH,1.0,500.0,1.31,A,2.0
